sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-6.1407;15.1899;9.6707;1.8258;9.543;1.3294;-8.2389;5.6785;7.6316;0.7031;0.2434;2.5655;0.0;-23.8;-9.09;12.27;88.76;-79.85;-33.97;0.0;43.67;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;26507;2018-08-07 23:01:36:468
8.2317;11.17;-6.8804;-2.4436;9.2687;2.0714;10.4494;2.2916;-8.8753;2.2968;-2.6318;1.1423;0.0;-6.13;-24.8;11.92;193.98;-68.83;49.03;0.0;51.76;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;27007;2018-08-07 23:01:36:968
-1.5367;9.3337;1.2096;-1.6578;9.5701;1.3545;-0.103;0.0241;-0.2612;0.1194;-0.008;-0.0849;0.0;-3.16;-23.51;15.7;210.54;-77.38;50.03;0.0;64.366;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;27507;2018-08-07 23:01:37:468
-2.2166;8.2755;0.9199;-1.2925;9.3868;2.5275;-1.0594;-0.5612;-2.1748;-1.4402;-0.3287;0.1015;0.0;-2.06;-23.42;14.8;193.52;-74.56;29.74;0.0;35.201;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;28007;2018-08-07 23:01:37:968
0.8264;13.1309;2.4546;-4.5576;8.5681;1.4092;4.9114;4.8894;1.1203;1.2453;-0.4032;-2.9877;3.3736;20.53;-7.44;-0.93;336.55;-62.99;69.65;0.0;50.119;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;28507;2018-08-07 23:01:38:468
-0.8759;9.2547;0.1322;-1.8921;9.5999;0.6569;0.6483;-0.0132;-0.2657;0.2301;-0.0229;0.1005;10.1208;22.1;-10.42;-9.23;3.47;-78.22;70.85;0.0;62.354;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;29007;2018-08-07 23:01:38:968
8.7656;11.9242;-8.4989;4.6673;8.6044;-0.5923;6.9535;4.6585;-7.8055;-0.0926;-3.0728;3.3421;10.1208;11.63;-20.25;-11.05;205.13;-69.4;-88.56;0.0;37.841;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;29508;2018-08-07 23:01:39:469
-40.8471;-17.1079;-9.4015;-4.6736;8.6173;0.2658;-34.6647;-25.1274;-6.3437;0.0597;0.0186;2.8595;0.0;24.76;-3.54;-16.43;34.95;-61.49;86.74;0.0;50.661;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;30007;2018-08-07 23:01:39:968
-1.6228;9.6162;0.9104;-1.4069;9.6525;1.01;-0.3446;0.3739;0.3245;-0.2897;-0.0709;0.3679;3.3736;24.11;-15.79;-19.29;8.79;-79.66;58.14;0.0;60.31;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;30508;2018-08-07 23:01:40:469
-3.1527;4.9667;2.6677;2.5137;9.4576;0.6366;-5.354;-4.2344;1.9884;-0.3408;1.2575;-3.4479;0.0;18.53;-22.18;-29.04;242.98;-74.67;-75.79;0.0;51.528;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;31007;2018-08-07 23:01:40:968
-1.5223;9.3074;1.4586;-1.43;9.6497;1.0049;-0.0964;-0.0021;0.5256;-0.0916;0.2008;-0.0135;10.1208;39.31;-4.25;10.29;312.73;-79.88;55.29;0.0;60.263;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;31508;2018-08-07 23:01:41:469
-0.646;8.1964;2.6294;-2.0559;9.5082;1.2399;1.2691;-0.9568;1.5895;-0.702;4.2541;1.8081;3.3736;5.03;-13.04;41.88;242.51;-75.83;58.91;0.0;46.957;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;32007;2018-08-07 23:01:41:968
2.9429;10.3033;2.4139;-2.0093;9.4668;1.585;6.79;2.3132;1.7411;0.2589;-0.0464;1.2073;0.0;-40.74;-21.97;19.76;172.27;-72.93;55.97;0.0;44.296;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;32508;2018-08-07 23:01:42:469
-2.5327;9.2619;0.3166;-1.7245;9.5446;1.4484;-0.8874;0.005;-1.1022;-0.2279;-0.2158;0.2762;0.0;-40.86;-21.51;18.71;166.03;-76.72;49.97;0.0;37.32;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;33007;2018-08-07 23:01:42:968
5.282;6.1422;12.1272;1.3165;9.5685;-1.6975;4.0348;-3.1743;14.0512;-3.0114;0.7856;-4.0327;0.0;-35.88;-7.31;18.92;336.8;-73.64;-140.14;0.0;44.819;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;33507;2018-08-07 23:01:43:468
-0.2582;9.518;4.3006;-1.3281;9.4916;2.0776;1.6331;0.5557;2.387;-0.1661;-0.1423;0.028;0.0;-29.96;-10.21;8.42;139.65;-75.44;32.59;0.0;68.638;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;34008;2018-08-07 23:01:43:969
1.2167;19.2409;-0.7177;1.981;8.511;4.4508;-5.1879;8.2602;-9.1905;-1.4902;-2.3878;4.1112;0.0;-34.37;-7.62;8.85;90.44;-62.09;-17.79;0.0;42.503;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;34507;2018-08-07 23:01:44:468
8.3658;11.8069;-2.3051;-3.8294;8.7161;2.3529;12.0057;3.4828;-4.535;-0.2354;0.1912;1.5514;0.0;-15.85;-18.95;10.8;182.2;-62.72;58.43;0.0;48.887;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;35008;2018-08-07 23:01:44:969
0.9988;9.6976;2.6917;-0.7746;9.5379;2.1446;1.466;0.477;1.1922;-0.4229;-0.2317;0.4307;0.0;-21.83;-12.34;12.8;149.46;-76.79;22.72;0.0;67.58;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;35507;2018-08-07 23:01:45:468
1.583;8.9315;7.9948;-0.1827;9.8049;-0.0024;1.5575;-0.2457;7.5038;-1.127;0.9443;-4.4951;0.0;-22.27;-12.21;6.13;352.32;-87.08;-112.72;0.0;51.027;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;36008;2018-08-07 23:01:45:969
-2.0801;9.1374;-0.7081;-2.0809;9.5681;0.5399;-0.0888;-0.0175;-0.9609;0.4272;0.0133;0.0685;0.0;-13.04;-23.1;-17.44;116.53;-77.21;73.83;0.0;60.844;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;36507;2018-08-07 23:01:46:468
-8.8677;9.6258;0.0556;3.4385;9.1808;-0.2466;-9.8495;-1.417;-1.6621;1.9292;-2.162;4.842;0.0;-31.79;-11.34;-26.95;318.46;-73.39;-87.27;5.0;38.245;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;37007;2018-08-07 23:01:46:968
-8.4894;-9.5063;7.4896;-3.6195;9.0389;1.1694;-13.7145;-6.7676;-14.2494;1.6203;-3.7407;-0.56;0.0;-26.16;-9.49;5.65;173.22;-66.52;67.71;0.0;43.906;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;37507;2018-08-07 23:01:47:468
-2.4273;10.6385;2.5672;-0.3411;9.5819;2.0592;-2.1911;1.3619;0.5157;-0.2727;-0.4277;0.909;0.0;-26.75;-4.91;5.13;115.01;-77.79;12.99;0.0;63.7;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;38007;2018-08-07 23:01:47:968
-3.0354;16.5522;3.0005;-2.4678;9.4465;0.9189;-0.277;6.5458;2.1055;0.5455;0.695;-5.6701;3.3736;-4.22;9.3;23.83;208.94;-81.88;37.72;0.0;51.284;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;38507;2018-08-07 23:01:48:468
-0.6293;9.3768;1.3748;-0.7425;9.6794;1.3883;-0.0646;-0.0542;0.0089;-0.2236;-0.0901;0.2272;3.3736;-26.71;22.98;14.54;142.65;-80.76;28.14;0.0;62.237;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;39007;2018-08-07 23:01:48:968
